
ACE v2.6 

  instance
    name:HSP-table-13408_c23
    args:/work/19331811_465/HSP-table-13408_c23.xml -rr=true -rlog=false -npc=true

 ...Parsing /work/19331811_465/HSP-table-13408_c23.xml

 ...Loading variables

 ...Loading constraints

  domains
    types:23  values:51,629  sizes:[2:144,9:9,36:1,50:1...94:1,408:1,568:72,1176:8]
  variables
    count:242  omitted:1  auxiliary:207  arrays:[t:9,o:9,d:8,g:8,_ax_:207]  degrees:[1:44,2:158,3:11,4:10...32:1,33:2,34:4,35:2]
  constraints
    count:359  specific:287  generic:72  backtrackable:17  groups:6  arities:[1:26,2:63,3:268,9:2]
    unary:[Extension1:24]  objective:[ObjVarGE,ObjVarLE]
    non_unary:[AllDifferentComplete:1,CT-Table:16,DisjonctiveReified:36,Intension:72,Maximum:1,Reif3LE:72,Reif3LT:72,Sub2EQ:63]
    tables:[29376:1,40800:1,44880:1,50592:1...68544:1,75072:1,76704:1,322624:8]  tuples:3,028,160
    extStructures:(9,shared:7)  intStructures:(1,shared:71)
    wck:1.62  cpu:1.996  mem:1711M276
  objective
    way:min  type:ObjVarLE  arity:1  bounds:180..587

 ...Building solver

  solver
    nNotAC:63  reviser:Reviser3  decoder:Decoder1
    wck:1.91  cpu:2.279  mem:2566M914

  preprocessing
    effs:130  revisions:(510,useless=510)  entailed:40  values:30,083  removedByAC:21,546  singletons:32  unsat:false
    wck:0.107  cpu:2.386  mem:2566M914

  search
 ...Discarding 36 singleton variables
    run1  dpts:2..3  robin:PickOnDom-First  effs:8,132  asgs:(53,noefs=0,fails=50)  fails:50  wrgs:50  wck:0.42  ngds:50
    run2  dpts:3..8  robin:WdegOnDom-Last  effs:11,565  asgs:(61,noefs=0,fails=52)  fails:102  wrgs:107  wck:0.47  ngds:83
    run3  dpts:9..41  robin:FrbaOnDom-Rand  effs:17,949  asgs:(183,noefs=39,fails=55)  fails:157  wrgs:212  wck:0.60  ngds:101
    run4  dpts:4..6  robin:Wdeg-First  effs:23,163  asgs:(65,noefs=0,fails=57)  fails:214  wrgs:270  wck:0.71  ngds:157
    run5  dpts:9..14  robin:PickOnDom-Last  effs:28,453  asgs:(84,noefs=1,fails=60)  fails:274  wrgs:341  wck:0.86  ngds:197
    run6  dpts:2..6  robin:WdegOnDom-Rand  effs:42,952  asgs:(113,noefs=0,fails=63)  fails:337  wrgs:442  wck:1.49  ngds:202
    run7  dpts:9..36  robin:FrbaOnDom-First  effs:51,574  asgs:(192,noefs=37,fails=67)  fails:404  wrgs:552  wck:1.66  ngds:219
    run8  dpts:4..7  robin:Wdeg-Last  effs:59,573  asgs:(82,noefs=0,fails=70)  fails:474  wrgs:628  wck:1.72  ngds:256
    run9  dpts:6..14  robin:PickOnDom-Rand  effs:69,114  asgs:(123,noefs=1,fails=73)  fails:547  wrgs:736  wck:1.92  ngds:260
    run10  dpts:2..8  robin:WdegOnDom-First  effs:75,490  asgs:(127,noefs=0,fails=77)  fails:624  wrgs:853  wck:2.08  ngds:267
    run11  dpts:13..74  robin:FrbaOnDom-Last  effs:80,556  asgs:(197,noefs=20,fails=81)  fails:705  wrgs:963  wck:2.19  ngds:286
    run12  dpts:5..5  robin:Wdeg-Rand  effs:88,530  asgs:(90,noefs=0,fails=85)  fails:790  wrgs:1,048  wck:2.98  ngds:371
    run13  dpts:12..19  robin:PickOnDom-First  effs:97,589  asgs:(158,noefs=8,fails=89)  fails:879  wrgs:1,178  wck:3.08  ngds:379
    run14  dpts:3..8  robin:WdegOnDom-Last  effs:114,036  asgs:(171,noefs=0,fails=94)  fails:973  wrgs:1,336  wck:3.30  ngds:389
    run15  dpts:4..68  robin:FrbaOnDom-Rand  effs:128,484  asgs:(281,noefs=52,fails=98)  fails:1,071  wrgs:1,516  wck:3.56  ngds:396
    run16  dpts:2..6  robin:Wdeg-First  effs:138,368  asgs:(120,noefs=1,fails=103)  fails:1,174  wrgs:1,632  wck:3.61  ngds:405
    run17  dpts:7..40  robin:PickOnDom-Last  effs:154,494  asgs:(196,noefs=11,fails=109)  fails:1,283  wrgs:1,784  wck:4.10  ngds:465
    run18  dpts:4..9  robin:WdegOnDom-Rand  effs:177,972  asgs:(196,noefs=0,fails=114)  fails:1,397  wrgs:1,963  wck:4.87  ngds:472
    run19  dpts:5..67  robin:FrbaOnDom-First  effs:217,289  asgs:(386,noefs=118,fails=120)  fails:1,517  wrgs:2,214  wck:5.61  ngds:504
    run20  dpts:4..8  robin:Wdeg-Last  effs:228,985  asgs:(140,noefs=0,fails=126)  fails:1,643  wrgs:2,346  wck:5.83  ngds:614
    run21  dpts:4..12  robin:PickOnDom-Rand  effs:244,432  asgs:(218,noefs=0,fails=132)  fails:1,775  wrgs:2,538  wck:6.45  ngds:620
    run22  dpts:2..7  robin:WdegOnDom-First  effs:259,959  asgs:(230,noefs=0,fails=139)  fails:1,914  wrgs:2,745  wck:6.84  ngds:626
    run23  dpts:5..35  robin:FrbaOnDom-Last  effs:280,163  asgs:(311,noefs=19,fails=146)  fails:2,060  wrgs:2,959  wck:7.25  ngds:641
    run24  dpts:2..5  robin:Wdeg-Rand  effs:291,981  asgs:(163,noefs=0,fails=153)  fails:2,213  wrgs:3,117  wck:7.48  ngds:713
    run25  dpts:7..15  robin:PickOnDom-First  effs:307,877  asgs:(270,noefs=4,fails=161)  fails:2,374  wrgs:3,366  wck:7.65  ngds:722
    run26  dpts:2..7  robin:WdegOnDom-Last  effs:346,171  asgs:(306,noefs=0,fails=169)  fails:2,543  wrgs:3,650  wck:8.86  ngds:730
    run27  dpts:8..46  robin:FrbaOnDom-Rand  effs:369,598  asgs:(415,noefs=57,fails=177)  fails:2,720  wrgs:3,948  wck:9.25  ngds:740
    run28  dpts:3..6  robin:Wdeg-First  effs:386,228  asgs:(192,noefs=1,fails=186)  fails:2,906  wrgs:4,136  wck:9.33  ngds:779
o 587   12.4  ham=0 (0 0 0 0 0 0)  opth=0
    run75  dpts:4..53  robin:FrbaOnDom-Rand  effs:1,246,529  asgs:(641,noefs=118,fails=238)  fails:7,870  wrgs:11,536  wck:40.7  ngds:2,144  sols:12  bounds:180..568
    run76  dpts:1..6  robin:Wdeg-First  effs:1,274,005  asgs:(379,noefs=0,fails=250)  fails:8,120  wrgs:11,897  wck:41.9  ngds:2,166  sols:12  bounds:180..568
    run77  dpts:5..13  robin:PickOnDom-Last  effs:1,314,795  asgs:(405,noefs=2,fails=262)  fails:8,382  wrgs:12,268  wck:43.7  ngds:2,264  sols:12  bounds:180..568
    run78  dpts:2..11  robin:WdegOnDom-Rand  effs:1,368,724  asgs:(504,noefs=6,fails=275)  fails:8,657  wrgs:12,717  wck:46.0  ngds:2,279  sols:12  bounds:180..568
    run79  dpts:5..41  robin:FrbaOnDom-First  effs:1,414,996  asgs:(509,noefs=16,fails=289)  fails:8,946  wrgs:13,177  wck:47.7  ngds:2,295  sols:12  bounds:180..568
    run80  dpts:0..6  robin:Wdeg-Last  effs:1,447,725  asgs:(357,noefs=0,fails=304)  fails:9,250  wrgs:13,526  wck:48.4  ngds:2,312  sols:12  bounds:180..568
    run81  dpts:6..14  robin:PickOnDom-Rand  effs:1,535,808  asgs:(598,noefs=2,fails=319)  fails:9,569  wrgs:14,044  wck:52.2  ngds:2,320  sols:12  bounds:180..568
    run82  dpts:5..11  robin:WdegOnDom-First  effs:1,563,702  asgs:(362,noefs=1,fails=335)  fails:9,904  wrgs:14,394  wck:52.5  ngds:2,484  sols:12  bounds:180..568
    run83  dpts:3..37  robin:FrbaOnDom-Last  effs:1,608,407  asgs:(604,noefs=18,fails=351)  fails:10,255  wrgs:14,950  wck:54.0  ngds:2,496  sols:12  bounds:180..568
    run84  dpts:3..4  robin:Wdeg-Rand  effs:1,641,829  asgs:(374,noefs=0,fails=369)  fails:10,624  wrgs:15,321  wck:55.8  ngds:2,543  sols:12  bounds:180..568
    run85  dpts:3..12  robin:PickOnDom-First  effs:1,727,150  asgs:(725,noefs=1,fails=388)  fails:11,012  wrgs:15,972  wck:59.3  ngds:2,553  sols:12  bounds:180..568
    run86  dpts:3..9  robin:WdegOnDom-Last  effs:1,810,649  asgs:(770,noefs=0,fails=407)  fails:11,419  wrgs:16,674  wck:62.7  ngds:2,572  sols:12  bounds:180..568
    run87  dpts:3..10  robin:FrbaOnDom-Rand  effs:1,888,720  asgs:(766,noefs=0,fails=427)  fails:11,846  wrgs:17,359  wck:66.4  ngds:2,575  sols:12  bounds:180..568
    run88  dpts:3..5  robin:Wdeg-First  effs:1,926,041  asgs:(460,noefs=0,fails=449)  fails:12,295  wrgs:17,814  wck:66.9  ngds:2,637  sols:12  bounds:180..568
    run89  dpts:2..11  robin:PickOnDom-Last  effs:1,967,337  asgs:(636,noefs=1,fails=471)  fails:12,766  wrgs:18,407  wck:68.1  ngds:2,686  sols:12  bounds:180..568
    run90  dpts:3..10  robin:WdegOnDom-Rand  effs:2,007,935  asgs:(604,noefs=1,fails=495)  fails:13,261  wrgs:18,989  wck:69.5  ngds:2,940  sols:12  bounds:180..568
 ...resetting restart cutoff to 55
    run91  dpts:3..21  robin:FrbaOnDom-First  effs:2,016,798  asgs:(140,noefs=16,fails=55)  fails:13,316  wrgs:19,095  wck:69.9  ngds:2,944  sols:12  bounds:180..568
    run92  dpts:5..10  robin:Wdeg-Last  effs:2,023,902  asgs:(91,noefs=1,fails=57)  fails:13,373  wrgs:19,176  wck:70.1  ngds:2,968  sols:12  bounds:180..568
    run93  dpts:4..11  robin:PickOnDom-Rand  effs:2,032,249  asgs:(111,noefs=1,fails=60)  fails:13,433  wrgs:19,270  wck:70.5  ngds:2,975  sols:12  bounds:180..568
    run94  dpts:4..9  robin:WdegOnDom-First  effs:2,041,132  asgs:(110,noefs=0,fails=63)  fails:13,496  wrgs:19,368  wck:70.8  ngds:2,990  sols:12  bounds:180..568
    run95  dpts:4..10  robin:FrbaOnDom-Last  effs:2,054,835  asgs:(120,noefs=0,fails=66)  fails:13,562  wrgs:19,477  wck:71.4  ngds:3,000  sols:12  bounds:180..568
    run96  dpts:5..9  robin:Wdeg-Rand  effs:2,062,296  asgs:(89,noefs=0,fails=70)  fails:13,632  wrgs:19,554  wck:71.7  ngds:3,007  sols:12  bounds:180..568
    run97  dpts:6..12  robin:PickOnDom-First  effs:2,076,502  asgs:(149,noefs=1,fails=73)  fails:13,705  wrgs:19,682  wck:72.4  ngds:3,012  sols:12  bounds:180..568
    run98  dpts:4..10  robin:WdegOnDom-Last  effs:2,089,960  asgs:(130,noefs=0,fails=77)  fails:13,782  wrgs:19,787  wck:73.0  ngds:3,023  sols:12  bounds:180..568
    run99  dpts:5..12  robin:FrbaOnDom-Rand  effs:2,097,495  asgs:(134,noefs=1,fails=81)  fails:13,863  wrgs:19,904  wck:73.3  ngds:3,028  sols:12  bounds:180..568
    run100  dpts:5..8  robin:Wdeg-First  effs:2,110,051  asgs:(97,noefs=1,fails=85)  fails:13,948  wrgs:19,995  wck:73.8  ngds:3,041  sols:12  bounds:180..568
    run101  dpts:5..11  robin:PickOnDom-Last  effs:2,129,567  asgs:(171,noefs=0,fails=89)  fails:14,037  wrgs:20,146  wck:74.7  ngds:3,047  sols:12  bounds:180..568
 ...resetting heuristics data (nValues:27,968 - nSingletons:37 - nEntailed:45)
    run102  dpts:2..4  robin:WdegOnDom-Rand  effs:2,135,209  asgs:(100,noefs=0,fails=94)  fails:14,131  wrgs:20,242  wck:74.8  ngds:3,093  sols:12  bounds:180..568
    run103  dpts:10..78  robin:FrbaOnDom-First  effs:2,157,186  asgs:(271,noefs=58,fails=98)  fails:14,229  wrgs:20,436  wck:75.2  ngds:3,106  sols:12  bounds:180..568
    run104  dpts:2..3  robin:Wdeg-Last  effs:2,166,822  asgs:(106,noefs=0,fails=103)  fails:14,332  wrgs:20,540  wck:75.4  ngds:3,175  sols:12  bounds:180..568
    run105  dpts:2..4  robin:PickOnDom-Rand  effs:2,175,576  asgs:(113,noefs=0,fails=108)  fails:14,440  wrgs:20,650  wck:75.5  ngds:3,241  sols:12  bounds:180..568
    run106  dpts:2..7  robin:WdegOnDom-First  effs:2,194,971  asgs:(194,noefs=1,fails=114)  fails:14,554  wrgs:20,825  wck:76.5  ngds:3,250  sols:12  bounds:180..568
